"Order type:","Tipo di ordine:",module,Ho_CompanySwitcher
"Private","Privato",module,Ho_CompanySwitcher
"Business","Affari",module,Ho_CompanySwitcher
"Own Reference","Il vostro riferimento",module,Ho_CompanySwitcher
