"Order type:","Type bestelling:",module,Ho_CompanySwitcher
"Private","Particulier",module,Ho_CompanySwitcher
"Business","Zakelijk",module,Ho_CompanySwitcher
"Own Reference","Eigen Referentie",module,Ho_CompanySwitcher
