"Order type:","Tipo de orden:",module,Ho_CompanySwitcher
"Private","Privado",module,Ho_CompanySwitcher
"Business","Negocio",module,Ho_CompanySwitcher
"Own Reference","Tu referencia",module,Ho_CompanySwitcher
