"Order type:","Tipo de ordem:",module,Ho_CompanySwitcher
"Private","Privado",module,Ho_CompanySwitcher
"Business","Negócio",module,Ho_CompanySwitcher
"Own Reference","Sua referência",module,Ho_CompanySwitcher
