"Order type:","Ordertyp:",module,Ho_CompanySwitcher
"Private","Privat",module,Ho_CompanySwitcher
"Business","Företag",module,Ho_CompanySwitcher
"Own Reference","Er referens",module,Ho_CompanySwitcher
